Ensembl_gene,Symbol,MoGene_Enrich,MoGene_Hedges_g,MoGene_Var_g,MoGene_SEg
ENSMUSG00000081684,Rps2-ps13,0.8212450000000011,6.2935510178667995,0.9811573312565529,0.990533861741512
ENSMUSG00000000301,Pemt,1.5153324999999986,6.287485731476351,0.9795675897779377,0.9897310694213544
ENSMUSG00000031508,Ankrd10,1.0963683333333325,6.283251167981936,0.9784585984535138,0.9891706619454066
ENSMUSG00000093846,Gm4425,0.8260672222216652,6.270418109625456,0.9751023074029411,0.9874726869149045
ENSMUSG00000048538,Gm9826,1.2712183333333318,6.270272441049694,0.9750642493918665,0.9874534163148491
ENSMUSG00000060475,Wtap,1.1785805555558317,6.268714623661152,0.9746573024734477,0.9872473360173972
ENSMUSG00000043140,Tmem186,1.1742116666666655,6.265910275815456,0.9739249806331671,0.9868763755573274
ENSMUSG00000022842,Ece2,1.9470049242424992,6.2394652165966225,0.9670352848946132,0.9833795223079507
ENSMUSG00000062905,Vmn1r32,2.017854166666666,6.222021617397253,0.9625066769412716,0.9810742463958941
ENSMUSG00000043190,Rfesd,0.9311060416666681,6.2168934695405,0.9611777478632835,0.980396729830982
ENSMUSG00000027574,Nkain4,1.529478749999999,6.210059080356884,0.9594083597363603,0.9794939304234408
ENSMUSG00000018574,Acadvl,0.7452465277783329,6.203703384255243,0.9577646492842137,0.9786545096632486
ENSMUSG00000090626,Tex9,1.1048719047616666,6.178356263700446,0.9512261168131011,0.9753082163157968
ENSMUSG00000034848,Ttc21b,0.9369185833333349,6.169961773613006,0.9490665786180846,0.9742004817377605
ENSMUSG00000027642,Rpn2,1.3302966666800007,6.168085282609875,0.948584240403559,0.9739528943452856
ENSMUSG00000022434,Fam118a,1.1642918749999982,6.1656942737581,0.9479698617349108,0.9736374385442
ENSMUSG00000094411,Snord16a,1.5521225000000003,6.165125952614307,0.9478238645295993,0.973562460517865
ENSMUSG00000038042,Ptpdc1,0.8645965000000011,6.159509167063185,0.9463816805199524,0.9728215049637587
ENSMUSG00000031772,Cntnap4,1.1720820370299982,6.131097769198411,0.9391068196102508,0.9690752393959154
ENSMUSG00000005973,Rcn1,1.7545806666666675,6.120086491294641,0.9362963780572803,0.9676240892295315
ENSMUSG00000091002,Tcerg1l,0.7978851515158354,6.113614927815476,0.9346469785714695,0.9667714200220595
ENSMUSG00000043909,Trp53bp1,1.235113611110835,6.111196274897461,0.9340309874196437,0.9664527859236807
ENSMUSG00000051029,Serpinb1b,1.6697783333333325,6.107458157541049,0.933079429832021,0.9659603665948313
ENSMUSG00000081170,Gm12922,0.7959183333333364,6.098766041883636,0.9308690566553185,0.964815555769764
ENSMUSG00000091957,Rps2-ps10,0.8688136111083367,6.077604704083889,0.9255009671859357,0.9620296082688597
ENSMUSG00000056131,Pgm3,1.4107809999999992,6.075748519092741,0.9250309906891653,0.9617853142407433
ENSMUSG00000040710,St8sia4,1.460851166666667,6.068003447726636,0.9230715276550966,0.9607661149598775
ENSMUSG00000048232,Fbxo10,1.0409839583333333,6.06093117715371,0.9212844629170034,0.9598356437000052
ENSMUSG00000032788,Pdxk,1.0756183333549973,6.059236613309368,0.9208565796227308,0.9596127237707568
ENSMUSG00000021033,Gstz1,1.1185180555550023,6.045012201678022,0.9172695834220513,0.9577419190063946
ENSMUSG00000021952,Xpo4,1.6810166666666682,6.044600112304339,0.9171657917394154,0.9576877318517845
ENSMUSG00000024970,AI846148,0.6743323958333329,6.037231728345727,0.9153111339076384,0.9567189419613465
ENSMUSG00000060487,Samd5,1.3067700000000002,6.011583907362323,0.9088730950224991,0.9533483597418622
ENSMUSG00000031360,Ctps2,0.9271366666666676,6.007018676896438,0.9077300181334361,0.9527486647240373
ENSMUSG00000068522,Aard,1.2966441666666668,6.001251972397885,0.9062873483756625,0.951991254358811
ENSMUSG00000033487,Fndc3a,1.5308308333333347,5.960384497077017,0.8961031424753824,0.9466272457918071
ENSMUSG00000036357,Gpr101,3.3274241666666686,5.953537219222378,0.8944036022185089,0.9457291378711501
ENSMUSG00000059540,Tcea2,1.3921749999999982,5.928825254613126,0.8882861746991814,0.9424893499128685
ENSMUSG00000043153,Ispd,0.8077438095233358,5.922082764102064,0.8866214948061883,0.9416058064849581
ENSMUSG00000029126,Nsg1,0.825334583333337,5.894463084750995,0.8798221363190524,0.9379883455134463
ENSMUSG00000001416,Cct3,0.8727371666666635,5.882502906323977,0.8768876651819237,0.9364228025747364
ENSMUSG00000074250,Gm10653,0.7829191666666713,5.8766151574584695,0.8754452748894362,0.9356523258611803
ENSMUSG00000045333,Zfp423,1.1317989583333343,5.867732192095363,0.8732718450828031,0.9344901524803796
ENSMUSG00000018589,Glra2,1.2797371666666653,5.860600932273477,0.8715293911080636,0.9335573850107253
ENSMUSG00000029469,Ift81,1.0344805000000008,5.832713208972748,0.8647356429989055,0.9299116318225649
ENSMUSG00000022935,Grik1,1.3255383333333306,5.831203473375697,0.864368779869398,0.9297143539116721
ENSMUSG00000025533,Asl,0.8359694999999991,5.81987493441699,0.8616189945432806,0.9282343424713829
ENSMUSG00000009549,Srp14,1.7867668749999996,5.80837703438008,0.8588335679028384,0.926732738119701
ENSMUSG00000012405,Rpl15,0.7250330555749969,5.7985993834198615,0.8564692144837396,0.9254562196472287
ENSMUSG00000021969,Zdhhc20,1.001128541660833,5.796309637162304,0.8559161019933939,0.9251573390474692
ENSMUSG00000024271,Elp2,1.06263777779,5.794977649907085,0.855594446848853,0.9249834846357274
ENSMUSG00000001285,Myg1,0.7373956249999996,5.7942898777307885,0.8554283890207453,0.9248937176890896
ENSMUSG00000022802,Lmln,0.7544953333333364,5.789190792929888,0.8541978650576351,0.9242282537650724
ENSMUSG00000047844,Bex4,1.3306933333333326,5.776080769477094,0.8510390946113625,0.9225178017856146
ENSMUSG00000047648,Fbxo30,1.6049816666666672,5.7642154380750545,0.8481863979659394,0.9209703567248728
ENSMUSG00000032511,Scn5a,1.7565691666674992,5.75170253243556,0.8451843647384988,0.9193390912707339
ENSMUSG00000023966,Rsph9,1.865384166666666,5.740806799487141,0.8425756290595852,0.9179191843836717
ENSMUSG00000057262,Gm10020,0.7492058333333329,5.740722646851732,0.8425554998728888,0.9179082197436129
ENSMUSG00000031441,Atp11a,1.0653538888899963,5.736954361493418,0.841654433993347,0.9174172627508963
ENSMUSG00000050852,Gm12115,1.0977166666666687,5.73157968399826,0.8403702741634146,0.9167171178522928
ENSMUSG00000030500,Slc17a6,1.704899702375835,5.725501890591493,0.8389195705206056,0.9159255267327173
ENSMUSG00000024477,Pggt1b,1.1945830555566666,5.72520962260756,0.8388498480962605,0.9158874647555018
ENSMUSG00000028393,Alad,1.1033775000008337,5.716531577953153,0.8367812659907887,0.9147574902621944
ENSMUSG00000029201,Ugdh,1.4308806481433312,5.705701210536589,0.8342040372862708,0.9133477088635361
ENSMUSG00000018378,Cuedc1,1.0275490625000003,5.6950012958575265,0.8316626509508586,0.9119553996500369
ENSMUSG00000041798,Gck,1.8094912499999989,5.693732026733612,0.831361497459882,0.9117902705446478
ENSMUSG00000042567,Nek10,1.5905896875000005,5.6819641189444425,0.8285725778082167,0.9102596211017034
ENSMUSG00000066487,Gm5786,0.7544024999999994,5.645317489036764,0.8199245216218054,0.9054968368922144
ENSMUSG00000055653,Gpc3,1.9768533333333371,5.634785417553671,0.817449462243704,0.9041291181262242
ENSMUSG00000050071,Bex1,1.0971541666666695,5.62216447355735,0.8144896011156814,0.9024907761942398
ENSMUSG00000043388,Tmem130,1.5034668750000009,5.6193312166963025,0.8138260585158303,0.9021230839058662
ENSMUSG00000075316,Scn9a,2.652957,5.604156115408074,0.8102777760768336,0.9001543068145781
ENSMUSG00000031111,Igsf1,2.716689916666666,5.593361349527795,0.8077595556711188,0.8987544468157689
ENSMUSG00000031819,Emc8,0.7742766666666672,5.585297078485452,0.805881477932509,0.8977090162923111
ENSMUSG00000035910,Dcdc2a,1.604660833332498,5.584495091379792,0.8056948523222355,0.8976050647819649
ENSMUSG00000074227,Spint2,1.6945293055525017,5.583323468303747,0.8054222591152852,0.8974532072009578
ENSMUSG00000026930,Gpsm1,0.8887896666650015,5.582223087094696,0.8051662933315696,0.8973105891114679
ENSMUSG00000037568,Vash2,0.5812272222224992,5.580861361108924,0.8048496045362677,0.8971341062161597
ENSMUSG00000042515,Mum1l1,1.6194825000000002,5.57773348951096,0.8041224659548836,0.8967287582958872
ENSMUSG00000084333,Gm11599,0.8881975000000022,5.5433081173668475,0.7961465077059894,0.8922704229693985
ENSMUSG00000021474,Sfxn1,0.7286984090983353,5.526527398712972,0.7922765119697389,0.8900991585041179
ENSMUSG00000031174,Rpgr,1.2099731666666642,5.516069418728608,0.7898706107928181,0.8887466516352217
ENSMUSG00000054387,Mdm4,0.9898315624999992,5.514063993761725,0.789409775273371,0.8884873523429418
ENSMUSG00000095427,Rps2-ps6,0.8151449999999976,5.509248117289449,0.7883037979933258,0.8878647408211038
ENSMUSG00000031297,Slc7a3,2.1047558333299996,5.4923666092868935,0.7844345511798314,0.88568309861927
ENSMUSG00000027204,Fbn1,0.9249597916666668,5.491461608816568,0.7842274601443449,0.8855661805558886
ENSMUSG00000080932,Gm10224,0.7728116666666658,5.490488165347793,0.7840047454093015,0.8854404245398453
ENSMUSG00000028603,Scp2,2.2969375000000003,5.485578290749918,0.7828820139535227,0.8848062013534504
ENSMUSG00000092279,1500011B03Rik,1.3010724999999983,5.48326435152268,0.7823532382187863,0.8845073420943358
ENSMUSG00000057244,Gm6139,0.8271925000000007,5.469814447456041,0.779284116154607,0.8827707041778216
